"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:19:56 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:16 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:16 2023","54:f2:94:0f:71:ba","3.5","-53"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:17 2023","54:f2:94:0f:71:ba","4.6","-56"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:18 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:18 2023","54:f2:94:0f:71:ba","3.5","-53"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:20 2023","54:f2:94:0f:71:ba","1.8","-45"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:21 2023","54:f2:94:0f:71:ba","1.8","-45"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:22 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:22 2023","54:f2:94:0f:71:ba","1.2","-41"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:23 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:24 2023","54:f2:94:0f:71:ba","10.8","-66"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:24 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:25 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:26 2023","54:f2:94:0f:71:ba","10.8","-66"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:28 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:30 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:31 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:33 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:36 2023","54:f2:94:0f:71:ba","3.3","-52"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:37 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:38 2023","54:f2:94:0f:71:ba","5.5","-58"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:38 2023","54:f2:94:0f:71:ba","1.2","-41"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:39 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:40 2023","54:f2:94:0f:71:ba","1.8","-45"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:40 2023","54:f2:94:0f:71:ba","3.9","-54"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:42 2023","54:f2:94:0f:71:ba","3.9","-54"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:42 2023","54:f2:94:0f:71:ba","1.8","-45"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:45 2023","54:f2:94:0f:71:ba","1.9","-46"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:46 2023","54:f2:94:0f:71:ba","5.9","-59"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:48 2023","54:f2:94:0f:71:ba","5.9","-59"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:52 2023","54:f2:94:0f:71:ba","7.1","-61"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:54 2023","54:f2:94:0f:71:ba","1.8","-45"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:56 2023","54:f2:94:0f:71:ba","5.0","-57"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:56 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:57 2023","54:f2:94:0f:71:ba","5.5","-58"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:20:58 2023","54:f2:94:0f:71:ba","5.0","-57"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:20:58 2023","54:f2:94:0f:71:ba","1.8","-45"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:20:59 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:00 2023","54:f2:94:0f:71:ba","1.8","-45"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:01 2023","54:f2:94:0f:71:ba","3.0","-51"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:02 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:02 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:03 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:04 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:04 2023","54:f2:94:0f:71:ba","1.9","-46"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:05 2023","54:f2:94:0f:71:ba","8.4","-63"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:06 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:06 2023","54:f2:94:0f:71:ba","1.9","-46"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:07 2023","54:f2:94:0f:71:ba","8.4","-63"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:08 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:08 2023","54:f2:94:0f:71:ba","1.8","-45"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:10 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:10 2023","54:f2:94:0f:71:ba","1.8","-45"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:12 2023","54:f2:94:0f:71:ba","1.2","-41"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:12 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:14 2023","54:f2:94:0f:71:ba","1.2","-41"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:15 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:16 2023","54:f2:94:0f:71:ba","1.0","-39"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:17 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:18 2023","54:f2:94:0f:71:ba","3.0","-51"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:18 2023","54:f2:94:0f:71:ba","1.0","-39"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:19 2023","54:f2:94:0f:71:ba","9.1","-64"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:20 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:21 2023","54:f2:94:0f:71:ba","9.1","-64"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:22 2023","54:f2:94:0f:71:ba","4.2","-55"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:22 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:32 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:32 2023","54:f2:94:0f:71:ba","6.5","-60"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:33 2023","54:f2:94:0f:71:ba","3.3","-52"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:34 2023","54:f2:94:0f:71:ba","6.5","-60"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:34 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:36 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:37 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:38 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:38 2023","54:f2:94:0f:71:ba","4.2","-55"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:39 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:42 2023","54:f2:94:0f:71:ba","3.3","-52"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:44 2023","54:f2:94:0f:71:ba","1.0","-39"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:46 2023","54:f2:94:0f:71:ba","1.0","-39"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:50 2023","54:f2:94:0f:71:ba","1.1","-40"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:51 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:52 2023","54:f2:94:0f:71:ba","1.1","-40"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:52 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:53 2023","54:f2:94:0f:71:ba","1.5","-43"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:54 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:55 2023","54:f2:94:0f:71:ba","1.5","-43"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:56 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:21:57 2023","54:f2:94:0f:71:ba","3.0","-51"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:21:58 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:21:58 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:00 2023","54:f2:94:0f:71:ba","1.0","-35"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:02 2023","54:f2:94:0f:71:ba","1.0","-38"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:02 2023","54:f2:94:0f:71:ba","1.2","-41"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:03 2023","54:f2:94:0f:71:ba","5.9","-59"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:04 2023","54:f2:94:0f:71:ba","1.0","-38"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:04 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:05 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:06 2023","54:f2:94:0f:71:ba","1.0","-28"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:06 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:07 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:08 2023","54:f2:94:0f:71:ba","1.4","-42"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:08 2023","54:f2:94:0f:71:ba","1.0","-31"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:09 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:11 2023","54:f2:94:0f:71:ba","1.1","-40"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:12 2023","54:f2:94:0f:71:ba","1.2","-41"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:13 2023","54:f2:94:0f:71:ba","1.0","-39"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:15 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:16 2023","54:f2:94:0f:71:ba","3.5","-53"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:17 2023","54:f2:94:0f:71:ba","1.4","-42"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:17 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:19 2023","54:f2:94:0f:71:ba","1.4","-42"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:19 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:20 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:22 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:24 2023","54:f2:94:0f:71:ba","1.9","-46"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:24 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:25 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:26 2023","54:f2:94:0f:71:ba","1.9","-46"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:26 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:27 2023","54:f2:94:0f:71:ba","3.0","-51"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:28 2023","54:f2:94:0f:71:ba","3.9","-54"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:28 2023","54:f2:94:0f:71:ba","3.0","-51"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:29 2023","54:f2:94:0f:71:ba","1.4","-42"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:30 2023","54:f2:94:0f:71:ba","1.9","-46"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:31 2023","54:f2:94:0f:71:ba","5.5","-58"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:31 2023","54:f2:94:0f:71:ba","1.4","-42"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:33 2023","54:f2:94:0f:71:ba","5.5","-58"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:33 2023","54:f2:94:0f:71:ba","1.9","-46"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:34 2023","54:f2:94:0f:71:ba","3.5","-53"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:35 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:36 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:37 2023","54:f2:94:0f:71:ba","4.6","-56"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:37 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:38 2023","54:f2:94:0f:71:ba","1.0","-35"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:39 2023","54:f2:94:0f:71:ba","4.2","-55"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:40 2023","54:f2:94:0f:71:ba","1.0","-38"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:41 2023","54:f2:94:0f:71:ba","4.2","-55"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:41 2023","54:f2:94:0f:71:ba","1.6","-44"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:42 2023","54:f2:94:0f:71:ba","1.0","-38"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:43 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:43 2023","54:f2:94:0f:71:ba","1.5","-43"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:44 2023","54:f2:94:0f:71:ba","1.4","-42"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:45 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:45 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:46 2023","54:f2:94:0f:71:ba","3.0","-51"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:47 2023","54:f2:94:0f:71:ba","5.5","-58"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:47 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:49 2023","54:f2:94:0f:71:ba","5.5","-58"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:49 2023","54:f2:94:0f:71:ba","2.3","-48"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:51 2023","54:f2:94:0f:71:ba","3.0","-51"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:53 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:53 2023","54:f2:94:0f:71:ba","3.0","-51"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:55 2023","54:f2:94:0f:71:ba","4.6","-56"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:56 2023","54:f2:94:0f:71:ba","1.9","-46"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:57 2023","54:f2:94:0f:71:ba","4.6","-56"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:22:57 2023","54:f2:94:0f:71:ba","3.9","-54"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:22:58 2023","54:f2:94:0f:71:ba","1.5","-43"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:22:59 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:23:00 2023","54:f2:94:0f:71:ba","1.5","-43"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:23:01 2023","54:f2:94:0f:71:ba","5.0","-57"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:23:01 2023","54:f2:94:0f:71:ba","4.6","-56"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:23:02 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:23:03 2023","54:f2:94:0f:71:ba","3.3","-52"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:23:03 2023","54:f2:94:0f:71:ba","4.6","-56"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:23:04 2023","54:f2:94:0f:71:ba","2.1","-47"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:23:05 2023","54:f2:94:0f:71:ba","4.2","-55"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:23:05 2023","54:f2:94:0f:71:ba","3.0","-51"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:23:06 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:23:07 2023","54:f2:94:0f:71:ba","4.6","-56"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:23:07 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:23:08 2023","54:f2:94:0f:71:ba","2.5","-49"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:23:09 2023","54:f2:94:0f:71:ba","3.9","-54"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:23:10 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:23:11 2023","54:f2:94:0f:71:ba","3.5","-53"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:23:11 2023","54:f2:94:0f:71:ba","3.9","-54"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:23:12 2023","54:f2:94:0f:71:ba","1.9","-46"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:23:13 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:23:13 2023","54:f2:94:0f:71:ba","3.9","-54"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:23:14 2023","54:f2:94:0f:71:ba","1.4","-42"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:23:15 2023","54:f2:94:0f:71:ba","2.7","-50"
"00f4040b","14:6b:9c:f4:04:0b","Fri Apr 21 14:23:15 2023","54:f2:94:0f:71:ba","3.9","-54"
"00f4043b","14:6b:9c:f4:04:3b","Fri Apr 21 14:23:16 2023","54:f2:94:0f:71:ba","1.4","-42"
"00f4043a","14:6b:9c:f4:04:3a","Fri Apr 21 14:23:17 2023","54:f2:94:0f:71:ba","3.3","-52"
